PART,MANUFACTURER,DESCRIPTION,constructed_code_9d
10023830,BORG-WARNER CORP.,"BLADE, ENGINE FAN 28"" DIA",032-000-000
10023833,BORG-WARNER CORP.,FAN CLUTCH HUB,042-001-000
10024362,KYSOR IND CORP.,FAN HUB,042-000-000
10024414,PETERBILT MOTORS CO,HUB-FAN,042-000-000
10032442,KYSOR IND CORP.,FAN HUB,042-000-000
101531928,TRUCK PRO,NOX SENSOR,043-000-000
101538128,DETROIT DIESEL CORP,"SENSOR, NOX OUTLET",043-000-000
10538128,TRUCK PRO,NOX SENSOR,043-000-000
010810A,DAYCO CORP,"HOSE, HYDRAULIC, BRAIDED",065-000-000
010-93-949,THERMO KING,HANDLE ASSY,053-000-000
0111-3E,MAR-CO EQPT CO,HORN W/BRACKET 24V,034-000-000
01-14596-004,FREIGHTLINER,"CLAMP-V BAND,TURBOCH",043-000-000
01-14596-008,FREIGHTLINER,"CLAMP-V BAND,TURBOCH",043-000-000
01-14596-009,FREIGHTLINER,V-CLAMP,034-000-000
01-14596-010,FREIGHTLINER,"CLAMP, V, TURBO, 4""",043-000-000
01-1614,MEI AIR SOURCE,BLOWER MOTOR,010-000-000
120740101,MERCEDES-BENZ OF NA,"INJECTION, PUMP, REPAIR, KIT",053-000-000
01-20963-001,FREIGHTLINER,"WASHER- HARDENED, STEEL",053-000-000
01-21-0023,GREAT DANE,CURTAIN,072-000-000
01-21200-002,DETROIT DIESEL CORP,"HOSE-INTAKE, CAC, 6IN",042-000-000
01-23415-058,FREIGHTLINER,"BELT-8 RIB,ACSM,1975MM,SERPEN",042-000-000
01-23415-077,FREIGHTLINER,"BELT-8 RIB, ACSM",042-000-000
124885,ALLEN BRADLEY CO.,CONT BLK NO 22.5MM (800F) 3ACR,053-000-000
124889,ALLEN BRADLEY CO.,LCH MTG 3ACR 800F PLSTC,053-000-000
124897,ALLEN BRADLEY CO.,MOD PWR PLT LT 120VAC LED WH,034-000-000
01-25172-000,FREIGHTLINER,"HOSE, CONVOLUTED, 4""X4""",053-000-000
12597567,GMC TRUCK DIVISION,VALVE,065-000-000
01-26680-000,FREIGHTLINER,INTAKE CAC HOSE,042-000-000
12673134,ACDELCO,SENSOR,043-000-000
01-27110-051,FREIGHTLINER,"BELT, 8 RIB ORION",042-000-000
12727099,ACDELCO,SENSOR,043-000-000
01-27425-000,FREIGHTLINER,"TENSIONER-BELT,DRIVE",042-000-000
01-27427-001,FREIGHTLINER,"TENSIONER-BELT,8 RIB",042-000-000
01-27441-000,FREIGHTLINER,PULLEY ALTERNATOR,042-000-000
01-28042-000,FREIGHTLINER,"PULLEY, IDLER",042-000-000
01-28870-000,FREIGHTLINER,CHARGE AIR HOSE,042-000-000
01-28904-000,FREIGHTLINER,CAC TUBE,042-000-000
01-29730-115,FREIGHTLINER,"BELT, A/C COMPRESSOR",042-000-000
01-29794-000,FREIGHTLINER,"PIPE, CHARGE AIR COOLER",042-000-000
013-00073,FLEET ENGINEERS,"SHOE, LANDING LEG, 10"" X 10""",016-000-000
013-00244,FLEET ENGINEERS,"AXLE, SHOE, 1.90"" X 8.5""",016-000-000
013-00427,FLEET ENGINEERS,LANDING GEAR CRANK HANDLE,053-000-000
013-00439,FLEET ENGINEERS,"HANDLE, CRANK",053-000-000
013-00991,FLEET ENGINEERS,"BRACE, ADJUSTABLE",016-000-000
013-011-076,WABCO AUTOMOTIVE,ABS CONTROL MODULE,013-000-000
013-01192,FLEET ENGINEERS,"SHOE, LANDING LEG, 10"" X 10""",016-000-000
01-30285-000,FREIGHTLINER,INTERCOOLER PIPE - RIGHT SIDE,042-000-000
01-31241-000,FREIGHTLINER,CHARGE AIR COOLER,042-000-000
01-31746-000,FREIGHTLINER,"PULLEY, IDLER",042-000-000
01-31990-001,FREIGHTLINER,"HOSE, UPPER RADIATOR",042-000-000
01-32006-001,FREIGHTLINER,"HOSE-RADIATOR,UPPER,M2,2010 I",042-000-000
01-32068-000,FREIGHTLINER,"PULLEY, 67MM",042-000-000
01-32161-200,FREIGHTLINER,"BELT, AUX, 12 RIB, 2200MM",042-000-000
01-32162-674,FREIGHTLINER,"BELT, AUX, 6 RIB, 1674MM",042-000-000
01-32211-000,BEHR HEAT TRANSFER,"COOLER, AIR CHARGE - 27T",042-000-000
01-32240-283,FREIGHTLINER,"BELT, 8 RIB, EPDM POLY,1283 MM",042-000-000
01-32240-760,FREIGHTLINER,"V-BELT, RIBBED",042-000-000
01-32241-101,FREIGHTLINER,"BELT-FAN DRIVE,8RIB,EPDM-POLY,",042-000-000
01-32396-000,FREIGHTLINER,"RETAINER, ENGINE SUPPORT",053-000-000
01-32731-529,FREIGHTLINER,"BELT, SERPENTINE",042-000-000
01-32732-065,FREIGHTLINER,"BELT, RADIATOR",042-000-000
01-32732-094,FREIGHTLINER,"BELT, AUX, 8 RIB, 2094MM",042-000-000
01-32732-147,FREIGHTLINER,"BELT 8RIB, EPDM-POLY, 2147MM",042-000-000
01-32732-317,FREIGHTLINER,"BELT-8RIB, EPDM POLY, 2317MM",042-000-000
01-32732-525,FREIGHTLINER,"ACESSORY,DRIVE,BELT,8-RIB",042-000-000
01-32732-671,"GATES RUBBER, THE","BELT, FAN 8 RIB",042-000-000
01-33096-000,FREIGHTLINER,"HOSE-CONVOLUTED 5.75"" X 4",053-000-000
1331,SUPER START,"BOLT, HOLD DOWN",053-000-000
01-33130-000,FREIGHTLINER,TUBE-AIR COMPRESSOR,053-000-000
01-33149-000,FREIGHTLINER,TUBE-CHARGE AIR COOL,042-000-000
1332,OREILLY AUTO PARTS,"BOLT, HOLD DOWN",053-000-000
01-33243-000,FREIGHTLINER,ISOLATOR ENG RR UP,053-000-000
01-33244-000,FREIGHTLINER,"ISOLATOR ENG, RR, L",053-000-000
01-33304-000,FREIGHTLINER,"PIPE,ELBOW,TURBO OUT",065-000-000
1337,SUPER START,BATTERY TERMINALS,053-000-000
01-33963-000,FREIGHTLINER,"ISOLATOR-FRONT, ASSY ENGINE",053-000-000
01-33964-000,FREIGHTLINER,ISOLATOR-FRONT ASSY ENGINE,053-000-000
01-3450-055,UTILITY,ALUM DOOR TRIM 106,053-000-000
1346,SUPER START,BATTERY TERMINAL,053-000-000
01-34692-600,FREIGHTLINER,"BELT, A/C 6 RIB,1600MM",042-000-000
134692674,DETROIT DIESEL CORP,A/C BELT,042-000-000
01-34693-115,FREIGHTLINER,ACCESSORY DRIVE BELT,042-000-000
01-34693-140,FREIGHTLINER,"BELT, RIBBED",042-000-000
01-34693-200,FREIGHTLINER,"BELT, FAN, 12, RIB",042-000-000
01-34718-000,FREIGHTLINER,"CHARGE, AIR, COOLER, HOSE",042-000-000
01-34741-000,FREIGHTLINER,CAC HOSE-LH,042-000-000
01-35624-283,FREIGHTLINER,"BELT,8 RIB,EPDM POLY",042-000-000
01-35625-529,FREIGHTLINER,BELT-10 RIB,042-000-000
01-35625-635,FREIGHTLINER,"BELT, FAN",042-000-000
01-35627-220,FREIGHTLINER,"BELT,10 RIB,2220MM,I",042-000-000
01-35632-115,FREIGHTLINER,"12 RIB , FAN , BELT",042-000-000
01-35632-124,FREIGHTLINER,"BELT, 12 RIB, 2124MM",042-000-000
01-35632-140,FREIGHTLINER,"BELT, 12 RIB, 2140MM, ISX FAN",042-000-000
01-35632-200,FREIGHTLINER,"BELT, 12 RIB, FAN",042-000-000
01-35643-065,FREIGHTLINER,"BELT- 8RIB, EPDM POLY",042-000-000
01-35643-094,FREIGHTLINER,8 RIB BELT,042-000-000
01-35643-147,FREIGHTLINER,"BELT, 8RIB, EPDM POLY. 2146MM",042-000-000
01-35643-170,FREIGHTLINER,SERPITINE BELT,042-000-000
01-35643-642,FREIGHTLINER,8 RIB BELT,042-000-000
01-35643-671,FREIGHTLINER,"BELT,RIBP,EPDM POLY",042-000-000
01-35647-600,FREIGHTLINER,"BELT, 6 RIB, 1600MM",042-000-000
01-35647-674,FREIGHTLINER,"BELT,6 RIB,1674MM,ISX A/C",042-000-000
139976246,DETROIT DIESEL CORP,SHAFT SEAL,053-000-000
01400-50001,UNICARRIER,NUT,053-000-000
01400-5001,UNICARRIER,NUT,053-000-000
014-01302,MASTER MOVER,THROTTLE,044-000-000
014-01303,MASTER MOVER,"BUTTON, TEMO BELLY",032-000-000
014-01304,MASTER MOVER,TEMO KEY SWITCH,032-000-000
014-01309,MASTER MOVER,YELLOW LEVER,053-000-000
014-01315,MASTER MOVER,COVER,053-000-000
014-02600,MASTER MOVER,"LCD METER, 0-5V, SM60",032-000-000
014-03902,MASTER MOVER,1228-29 24V 110A SM CONTROLLER,032-000-000
014-04101,MASTER MOVER,HOUSING,034-000-000
014-04103,MASTER MOVER,HANDLE,053-000-000
1407,SUPER START,COPPER LUGS,053-000-000
1410,SUPER START,GOLD PLATED TOP POST TERMINAL,002-000-000
14110,"BANDAG, INC.","RETREAD, ITR2, 295/75R22.5",017-001-000
01-4224-70,GREAT DANE,"BRACKET, MOUNTING, MICRONOVA",053-000-000
01-4224-71,GREAT DANE,"BRACKET, MOUNTING, MICRONOVA",053-000-000
01-4424-02,GREAT DANE,"SWITCH, INTERIOR, DOME LAMP",032-000-000
01-44267,PETERBILT MOTORS CO,DECK PLATE LEVER LOCKING ASSY,002-000-000
01-4436-71,GREAT DANE,"SWITCH, INTERIOR, DOME LIGHT",032-000-000
01-4438-70,GREAT DANE,"SWITCH, MOMENTARY, GND SENSING",032-000-000
01-4439-70,GREAT DANE,"SWITCH, MOMENTARY, GND SENSING",032-000-000
01-4444-72,GREAT DANE,"SWITCH, INTERIOR, DOME LIGHT",032-000-000
01-4444-73,GREAT DANE,"SWITCH, DOME LIGHTS, W/TIMER",032-000-000
01-45151M000,PETERBILT MOTORS CO,CROSSMEMBER ALUM,001-000-000
01-47609,PETERBILT MOTORS CO,GUSSET CROSSMEMBER,001-000-000
01-4830-95,"PACCAR, INC.","SWITCH, TURN SIGNAL",032-000-000
01-4933-71,GREAT DANE,"LAMP, MARKER, LED, RED, 0.75""",034-000-000
01-4934-81,GREAT DANE,"LAMP, MARKER, LED, AMBER",034-000-000
01-4952-78,UTILITY TRAILERS,"LAMP, MARKER, LED, RED",034-000-000
01-497,"DAYTON PARTS, INC.",JAM NUT & WASHER 3/4-16,053-000-000
15032062,ACDELCO,CONNECTOR,032-000-000
01-50900-1068,PETERBILT MOTORS CO,DECK PLATE ASSY,002-000-000
01-50900-1602,PETERBILT MOTORS CO,DECKPLATE,053-000-000
15130200,YALE IND TRK DIV,BEARING,018-000-000
01-51371-001,PETERBILT MOTORS CO,CROSSMEMBER-SUSP STEEL,001-000-000
15151875,ACDELCO,CONNECTOR,032-000-000
01-5390-72,"PACCAR, INC.","4"" BACK UP LAMP",034-000-000
01-6067-73,GREAT DANE,"LAMP, LED, LICENSE PLATE",034-000-000
01-6074-71,TO BE DETERMINED,"LAMP, LED, LICENSE PLATE",034-000-000
1610601,"PACCAR, INC.",O RING 56MM X 6.2MM,053-000-000
01-6129-73,GREAT DANE,"LAMP, LED, DOME, W/O SENSOR",043-000-000
016266VEL,"VELVAC, INC.","ELBOW,90 DEG , MALE , SWIVEL",065-000-000
01-6280-71,GREAT DANE,"LAMP, BACK-UP, LED, 4""",034-000-000
01-64M1-70,GREAT DANE,"LAMP, RADIUS, LED, W/BRACKET",034-000-000
01-64M1-71,GREAT DANE,"LAMP, RADIUS, LED, W/BRACKET",034-000-000
01-6500-0-164,FLEETPRIDE,CORNER RADIUS,034-000-000
01-6606-V8,GREAT DANE,"HARNESS, ABS",032-000-000
01-6606-Y2,GREAT DANE,"HARNESS, 7 WAY WIRING",032-000-000
01-6608-F9,GREAT DANE,"HARNESS, 7-WAY",032-000-000
01-6608-J3,GREAT DANE,MAIN HARNESS,032-000-000
01-6609-E8,TO BE DETERMINED,"HARNESS, FRONT",032-000-000
01-6623-P9,GREAT DANE,"HARNESS, NOSEBOX, TRAILER",032-000-000
01-6627-H8,GREAT DANE,HARNESS,032-000-000
01-6641-P7,GREAT DANE,"HARNESS, JUMPER, EXTENSION",032-000-000
01-6650-0-179,FLEETPRIDE,TOP RAIL 52,002-000-000
01-6670-L9,GREAT DANE,MAIN HARNESS,032-000-000
01-6758-B1,GREAT DANE,"HARNESS, REAR TRAILER - GREAT",032-000-000
01-6758-EG,GREAT DANE,REAR SILL HARNESS,032-000-000
01-6761-E8,GREAT DANE,"HARNESS, SILL, REAR",032-000-000
1686,TENNANT,"WASHER, FLAT, 0.44B 1.00D .08",053-000-000
01-6970-79,KENWORTH TRUCK CO,TSS HARNESS,032-000-000
169978046,DETROIT DIESEL CORP,"SEAL, AXLE OUTPUT",016-000-000
17801908589,FEIT ELECTRIC CO,"LED TUBE LIGHT BULB, 18W, 4'",034-000-000
17801908671,THE HOME DEPOT,"LED TUBE LIGHT BULB, 18W, 4'",034-000-000
017802-01,INSRINGHAUSEN SEATS,SEAT CUSHION ASSY,002-000-000
017802-02,INSRINGHAUSEN SEATS,SEAT CUSHION FOAM,002-000-000
017891-00,INSRINGHAUSEN SEATS,"ARMREST, LH",002-000-000
1789200,ISRINGHAUSEN,"ARMREST WITHOUT COVER, RH",002-000-000
018-00003,MASTER MOVER,KEY,053-000-000
0185100.XP,LITTELFUSE,CIRCUIT BREAKER,032-002-000
185150,LITTELFUSE,CIRCUIT BREAKER,032-002-000
01-8714-70,GREAT DANE,NOSE BOX,002-000-000
01-8729-02,GREAT DANE,"NOSEBOX, 7-WAY, FLEETPULSE",002-000-000
01-8729-70,GREAT DANE,"NOSEBOX, 7-WAY, FLEETPULSE",002-000-000
1873702,FLEETPRIDE,ULTRA BOX JUMPER HARNESS,032-000-000
19207929,ACDELCO,GASKET KIT,053-000-000
020-038-002,"RIGHTLINE EQPT, INC",BEARING,018-000-000
020-038-004,"RIGHTLINE EQPT, INC",POLY SLIDE,053-000-000
020-043-001,TOYOTA,"SLIDE, LOWER",053-000-000
020-078-001,"RIGHTLINE EQPT, INC",POLY BRG,053-000-000
020-079-002,TOYOTA,"BEARING,POLY",018-000-000
020240-002,CROWN,"BRUSH, BOX ASM 16 X 25",053-000-000
0203-8-8,TEXAS HYDRAULIC,CONNECTOR FPXMJ,032-000-000
02040J2675,"BENDIX CORP, THE","PADS, BRAKE, FRONT",013-001-000
020879-00R,CROWN,MOTOR,053-000-000
021-00373,FLEET ENGINEERS,HOLDBACK ASSY,002-000-000
021-043-01,DEXTER AXLE CO,GREASE CAP,018-000-000
02-1111-108,MBB INTERLIFT,BUMPER,002-000-000
21122,CROWN,36V AC PUMP MOTOR,032-000-000
021122-00R,CROWN,MOTOR,053-000-000
21173,CROWN,SPACER,053-000-000
21196,CROWN,AC MOTOR 24C TRACTION,032-000-000
021196-00R,CROWN,"MOTOR, 24V AC TRACTION",032-000-000
02-12175-012,FREIGHTLINER,"TUBE, LUBRICATION, CLUTCH, 12""",053-000-000
02-12176-000,FREIGHTLINER,"BEARING, PIOLET .72X3",018-000-000
21218,CROWN,"MOTOR, LIFT AC 36V/48V",032-000-000
21345,CROWN,MOTOR AC TRACTION 36/48V EE TR,032-000-000
02-14069-000,FREIGHTLINER,"SPACER - PILOT BEARING , LOW C",018-000-000
21527,CROWN,SET OF BRUSHES AMJ 5840 24V,053-000-000
21541,CROWN,MOTOR AC TRACTION 36/48V,032-000-000
21542,CROWN,MOTOR AC TRACTION 36/48V,032-000-000
21606,CROWN,"MOTOR, AC, TRACTION, 36/48V",032-000-000
02-1606006,KENWORTH TRUCK CO,"BEZEL, LH HEADLIGHT CHROME",034-000-000
02-160701102,KENWORTH TRUCK CO,"HOUSING, TURN SIGNAL",034-000-000
021608-00R,CROWN,36 VOLT MOTOR,053-000-000
21711,CROWN,MEZZANINE HALL KIT,053-000-000
022-00081,FLEET ENGINEERS,"HOLDBACK, DOOR",002-000-000
022-01036,FLEET ENGINEERS,"HINGE, ALUMINIUM, 4 HOLE",002-000-000
022-01087,FLEET ENGINEERS,"COVER, ALUMINUM MANIFEST",002-000-000
22011,"VELVAC, INC.","HOSE, AIR BRAKE, 3/8""X3/4""X50'",013-000-000
022-01184,FLEET ENGINEERS,"HINGE, UTILITY STYLE TRAILER",002-000-000
022-01190,FLEET ENGINEERS,"HOLDER, DOCUMENTS, TUBE, 9""",053-000-000
22028,"VELVAC, INC.","HOSE, AIR, SLIDER, 5TH WHEEL",053-000-000
023-00975,FLEET ENGINEERS,"IRON, CORNER 12""X12""",053-000-000
023041X1,TRW,"BOLT/NUT, KIT, SERVICE",053-000-000
23368720,ACDELCO,CAP,053-000-000
024-02501,FLEET ENGINEERS,"DOOR, VENT",072-000-000
024-03000,FLEET ENGINEERS,"COVER, VENT",053-000-000
0243562PE,"PACCAR, INC.","PLUG SEAL, M26 X 1.5",053-000-000
1944-02-01 00:00:00,UTILITY,LUG BRACE PLATE,016-000-000
1945-02-01 00:00:00,HOLLAND HITCH CO.,LANDING GEAR BRACE LUG,016-000-000
1946-02-01 00:00:00,UTILITY,LUG BRACE PLATE,016-000-000
025-01028,FLEET ENGINEERS,"CABLE, DOOR - ROLL UP SS (7X7)",072-000-000
025-01029,FLEET ENGINEERS,"CABLE, DOOR-ROLL UP 110""",072-000-000
025-01030,FLEET ENGINEERS,"CABLE, DOOR - ROLL UP - 115"" S",072-000-000
025-01031,FLEET ENGINEERS,"CABLE, DOOR, ROLL-UP, 115""",072-000-000
025-01088,FLEET ENGINEERS,"CABLES, DOOR, ROLL UP, PAIR",072-000-000
025-01434,FLEET ENGINEERS,"CABLE, DOOR - ROLL UP SS (7X19",072-000-000
025-01435,FLEET ENGINEERS,ROLL UP DOOR CABLE 110',072-000-000
025-01438,FLEET ENGINEERS,"CABLE DOOR- ROLL UP SS 115""",072-000-000
025-01439,FLEET ENGINEERS,ROLL UP DOOR CABLE 115',072-000-000
025-01447,FLEET ENGINEERS,"DOOR, CABLE OVERHEAD",072-000-000
025-01450,FLEET ENGINEERS,"CABLE, DOOR- ROLL UP 130""",072-000-000
025-01575,FLEET ENGINEERS,"CABLE, DOOR - ROLL UP 110"" (7X",072-000-000
025-10001,FLEET ENGINEERS,"HINGE, END",002-000-000
025-10101,FLEET ENGINEERS,"ROLLER, DOOR - NYLON W-STYLE 2",072-000-000
025-10102,FLEET ENGINEERS,"ROLLER, DOOR - WHITING 2"" STEE",072-000-000
025-10403,FLEET ENGINEERS,"STRAP, ROLL UP DOOR PULL - 32""",072-000-000
025-10420,FLEET ENGINEERS,"CABLE, ROLL-UP DOOR 18""",072-000-000
025-10432,WHITING ROLL-UP DOOR,DOOR STRAP,072-000-000
025-10500,FLEET ENGINEERS,"LATCH, DOOR LOCK - KEEPER",072-000-000
025-10501,FLEET ENGINEERS,RECESSED DOOR ROLLER LOCK ASSE,072-000-000
025-10502,FLEET ENGINEERS,"KEEPER, LOCK, DOOR",053-000-000
025-10577,FLEET ENGINEERS,"HANDLE, CAM LOCK",053-000-000
025-10578,FLEET ENGINEERS,"HANDLE, LATCH WHITING",072-000-000
025-60050,FLEET ENGINEERS,T-STYLE LATCH PLATE,072-000-000
025-60563,WHITING ROLL-UP DOOR,"ROLLER BRACKET, REEFER BOTTOM",053-000-000
25877402,ACDELCO,WIPER BLADE,002-035-000
025E10002,FLEET ENGINEERS,W-STYLE END HINGE AND ROLLER,002-000-000
025E10051,FLEET ENGINEERS,CENTER HINGE,002-000-000
025E10403,FLEET ENGINEERS,"STRAP, PULL - ROLL UP DOOR - 2",072-000-000
026-14225,FLEET ENGINEERS,"BOTTOM, DOOR, PANEL, 98X15",072-000-000
027-20114,TRAMEC,"SPRING, CURBSIDE, 35""",072-000-000
027-20300,FLEET ENGINEERS,"DRUM, CABLE, R/S",072-000-000
027-20301,FLEET ENGINEERS,"DRUM, CABLE, C/S",072-000-000
027-24201,FLEET ENGINEERS,"SPRING ASSEMBLY, OPERATOR 96""",072-000-000
027-24403,FLEET ENGINEERS,"OPERATOR,ASSEMBLY",072-000-000
027-24417,FLEET ENGINEERS,"ASSEMBLY, DUAL SPRING",053-000-000
02-7299-0-001,UTILITY,"BOLTS, CALIPER",053-000-000
027-6081-2203X,PETERBILT MOTORS CO,CONTROL - 2.1M DRIVER DCM,032-000-000
02-78BJ31,BEVERAGE TRUCK PARTS,"STRAP, DOOR, 31"", W/GROMMET",072-000-000
0-28156-012-0,AMERICAN ISUZU MTRS,"BOLT, BRACKET",053-000-000
0298100.ZXEH,LITTELFUSE,"FUSE, MEGA - 100A",032-002-000
029-90205W,TRAMEC,"TRAK, DOOR PRECISION WOOD",072-000-000
029-98205W,PRECISION BRAND PROD,"DOOR, REAR, ROLL UP",072-000-000
300751,HYSTER CO.,"BEARING, SPHERICAL",018-000-000
03-00869,PETERBILT MOTORS CO,SPACER-AXLE TORQUE ROD,016-000-000
03-01568,SPICER AXLE-TRANS,"GASKET, AXLE DRIVE",016-000-000
0303-6-6,"GRAINGER, W.W., INC.",NIPPLE MJ X MJ,065-000-000
030-560,DORMAN PROD CO.,A/C O-RING ASSORTMENT,053-000-000
03-05915,PETERBILT MOTORS CO,"U BOLT, SPRING EYE 3/4",053-000-000
03-06645,PETERBILT MOTORS CO,HCV BRACKET,016-000-000
03-06830,PETERBILT MOTORS CO,BRACKET-TRACKING ROD,016-000-000
30699314942,THE HOME DEPOT,"FIRE EXT SIGN, 4"" X 18""",053-000-000
03-07112,PETERBILT MOTORS CO,AIR SPRING,016-000-000
03-0750-0-059,UTILITY,SIDE DOOR LATCH,072-000-000
30805,MAXON,"COTTER PIN 1/8 X1""",053-000-000
30955,MAXON,"MAXON NUT, LOCK 3/8-16 GR.C ZI",053-000-000
3100,BRIDGESTONE TIRE,295/75R22.5 MULTI T SA,053-000-000
031-00120,FLEET ENGINEERS,"BRACKET, MUDFLAP BAR TYPE",002-000-000
031-00406,AERO INDS,QUARTER FENDER,002-000-000
031-00896,FLEET ENGINEERS,"KIT, MUDFLAP HANGER BRACKETS",053-000-000
031-00897,FLEET ENGINEERS,BRACKET KIT - MUDFLAP HANGER,053-000-000
031-01760,FLEET ENGINEERS,"BLK POLY QTR FENDER, ST W BLK",002-000-000
03-1103-0-077,UTILITY,"BRACKET, LANDING LEG",016-000-000
03-1103-0-123,UTILITY,"BRACKET, LANDING GEAR MTG RD/S",016-000-000
03-1105-0-005,UTILITY,BRACKET,053-000-000
03-1105-0-007,UTILITY,BRACKET,053-000-000
03-1250-0-006,UTILITY,DOCK BUMPER,002-000-000
03-1451HD,"DAYTON PARTS, INC.",CAMSHAFT REPAIR KIT,053-000-000
03-1600-0-069,FLEETPRIDE,ROOF BOW,002-000-000
3190209,DURAGO,"TIRE, 23X11-10 4PR",017-001-000
032-00199,FLEET ENGINEERS,POST QTR FENDER,002-000-000
32058,"VELVAC, INC.",DRAIN VALVE WITH 4 CABLE,065-000-000
03-209A,"DAYTON PARTS, INC.",BRAKE CAMSHAFT BRACKET,013-000-000
1951-03-01 00:00:00,SPICER AXLE-TRANS,"CAM BRACKET, R/H",013-000-000
1952-03-01 00:00:00,SPICER AXLE-TRANS,"CAM BRACKET, L/H",013-000-000
032-188,KELLEY DOCK LEVELERS,"BDC CHAIN ASSEMBLY, 43""",053-000-000
0322364PE,PETERBILT MOTORS CO,RING COPPER 16.2X21.9X1.3MM,053-000-000
03-23669-000,FREIGHTLINER,FUEL TANK BOLT,053-000-000
03-25693-000,FREIGHTLINER,"LUG TENSIONER, FUEL TANK STRAP",042-000-000
03-27310-000,FREIGHTLINER,"TANK, FUEL",053-000-000
03-27310-001,FREIGHTLINER,"ISOLATOR, FUEL TANK",044-000-000
033-00051,FLEET ENGINEERS,"ANGLE, MOUNTING, MUD FLAP",002-000-000
033-00270,FLEET ENGINEERS,"BRACKET, MUD FLAP, STRAIGHT",002-000-000
033-00864,FLEET ENGINEERS,"MUDFLAP, 45 DEGREE SPRING LOAD",016-000-000
033-01093,FLEET ENGINEERS,BRACKET MUDFLAP,002-000-000
033-04259,FLEET ENGINEERS,"PLATE, STRAIGHT CONSPICUITY",053-000-000
033-04263,FLEET ENGINEERS,ANGLED CONSPICUITY PLATE,034-000-000
033-04542,FLEET ENGINEERS,"SET, MUDFLAP BRACKETS - SPRING",016-000-000
033-08002,FLEET ENGINEERS,"MUDFLAP, AERO - 24 X 30",002-000-000
332002150441,"BOSCH CORP, ROBERT",RELAY - COKE PUMP,032-000-000
03-32976-700,FREIGHTLINER,"BRACKET, FUEL, TANK, ISOLATOR",044-000-000
03-33412-696,FREIGHTLINER,FUEL TANK ISOLATOR,044-000-000
03-33412-780,FREIGHTLINER,ISOLATOR - FUEL TANK BAND,044-000-000
03-33906-001,FREIGHTLINER,"T-BOLT, FUEL TANK BRACKET",044-000-000
03-33927-672,FREIGHTLINER,"ISOLATOR, FUEL TANK BRACKET",044-000-000
03-34464-000,FREIGHTLINER,FUEL CAP,044-000-000
03-34467-000,FREIGHTLINER,"CAP, TANK, FUEL",044-000-000
03-3550-0-038,UTILITY,"OUTER DOOR RUBBER GASKET, 2PC",072-000-000
03-35804-000,FREIGHTLINER,"ISOLATAR, AIR CLEANER",053-000-000
03-36187-000,FREIGHTLINER,"ISOLATOR,AIR CLEANER",053-000-000
3363,BRIDGESTONE TIRE,11R22.5 X LEZ LRG,053-000-000
0336744PE,"PACCAR, INC.","PLUG, DRAIN",032-000-000
03-37017-000,FREIGHTLINER,"CAP, FUEL TANK, FREIGHTLINER",044-000-000
03-37017-001,FREIGHTLINER,FUEL CAP,044-000-000
03-37679-000,FREIGHTLINER,"HOUSING, FILTER, AIR, COMPLETE",053-000-000
03-37752-002,FREIGHTLINER,STRAP-FUEL TANK,044-000-000
03-38068-000,FREIGHTLINER,"ELBOW-90 DEG,HOSE BARB-DEF",065-000-000
03-38500-000,FREIGHTLINER,FUEL TANK BRACKET,044-000-000
03-38548-002,FREIGHTLINER,BAND-25 INCH,053-000-000
03-38548-004,FREIGHTLINER,"STRAP, FUEL TANK",044-000-000
03-38548-005,FREIGHTLINER,"STRAP,FUEL TANK",044-000-000
03-38876-000,FREIGHTLINER,"INSERT, ANTISIPHON",053-000-000
03-3951-0-015,TODCO DIV OVRHD DOOR,SIDE DOOR HANDLE,072-000-000
034-00426,FLEET ENGINEERS,"BRACKET, MUD FLAP, REAR",002-000-000
034-00433,FLEET ENGINEERS,"BRACKET, MUDFLAP, SHORT, 5/8""",002-000-000
03-40538-009,DETROIT DIESEL CORP,"WATER SEPERATOR, FUEL",044-000-000
03-40538-012,DETROIT DIESEL CORP,"ASSY, FUEL WATER SEPARATOR",044-000-000
03-4100-022,UTILITY,3 HOLE ALUMINUM DOOR HINGE,072-000-000
3413,DORMAN PROD CO.,"KIT, HARDWARE",053-000-000
03-41389-000,FREIGHTLINER,"SEPERATOR, FUEL/WATER",044-000-000
03-42746-001,FREIGHTLINER,"SERPARATOR, FUEL/WATER",044-000-000
03-42776-000,FREIGHTLINER,"HOUSING, FILTER, AIR",053-000-000
03-42776-010,FREIGHTLINER,"FILTER, AIR, ENGINE",053-000-000
03-43479-000,FREIGHTLINER,"HOUSING, FILTER, AIR",053-000-000
03-43845-000,FREIGHTLINER,"FILTER, FUEL/WATER SEPARATOR",044-000-000
35007,"VELVAC, INC.","SEAL, GLADHAND",018-000-000
35093,"VELVAC, INC.","GLADHAND, ANGLE MOUNT, RED",053-000-000
03-6512-0-042,FLEETPRIDE,NOSE POST,053-000-000
03-6650-0-510,UTILITY,NOSE RAIL,053-000-000
368500029,UTILITY,"TANK, AIR",053-000-000
037-155-001,TENNANT,BRACKET,053-000-000
03-7270-0-003,UTILITY,"RUBBER KAZOO, 4-1/8""",053-000-000
03-8030-0-026,UTILITY,SOCKET LOCK ALUM SIDE,072-000-000
40066,MAXON,NUT LOCK 1/2-13 ZC,072-000-000
041-001-001,CROWN,SHIM,053-000-000
